title,studio,domestic_gross,foreign_gross,year,total_gross,title_clean,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,movie_id,averagerating,numvotes
Kick-Ass,LGF,48100000.0,48100000.0,2010,96200000.0,kick-ass,tt1250777,Kick-Ass,Kick-Ass,2010,117.0,"Action,Comedy",tt1250777,7.6,497363.0
Green Zone,Uni.,35100000.0,59800000.0,2010,94900000.0,green zone,tt0947810,Green Zone,Green Zone,2010,115.0,"Action,Drama,Thriller",tt0947810,6.8,122132.0
Nanny McPhee Returns,Uni.,29000000.0,64200000.0,2010,93200000.0,nanny mcphee returns,tt1415283,Nanny McPhee Returns,Nanny McPhee and the Big Bang,2010,109.0,"Comedy,Family,Fantasy",tt1415283,6.1,25048.0
Get Him to the Greek,Uni.,61000000.0,30300000.0,2010,91300000.0,get him to the greek,tt1226229,Get Him to the Greek,Get Him to the Greek,2010,109.0,"Adventure,Comedy,Music",tt1226229,6.4,161653.0
Burlesque,SGem,39400000.0,50100000.0,2010,89500000.0,burlesque,tt1126591,Burlesque,Burlesque,2010,119.0,"Drama,Music,Musical",tt1126591,6.4,71021.0
Burlesque,SGem,39400000.0,50100000.0,2010,89500000.0,burlesque,tt1586713,Burlesque,Burlesque,2010,,Drama,tt1586713,7.0,45.0
The Last Song,BV,63000000.0,26100000.0,2010,89100000.0,the last song,tt1294226,The Last Song,The Last Song,2010,107.0,"Drama,Music,Romance",tt1294226,6.0,74914.0
Dinner for Schmucks,P/DW,73000000.0,13800000.0,2010,86800000.0,dinner for schmucks,tt0427152,Dinner for Schmucks,Dinner for Schmucks,2010,114.0,Comedy,tt0427152,5.9,91546.0
Marmaduke,Fox,33600000.0,50100000.0,2010,83700000.0,marmaduke,tt1392197,Marmaduke,Marmaduke,2010,87.0,"Comedy,Family",tt1392197,4.2,13283.0
Piranha 3D,W/Dim.,25000000.0,58200000.0,2010,83200000.0,piranha 3d,tt0464154,Piranha 3D,Piranha 3D,2010,88.0,"Comedy,Horror",tt0464154,5.4,81327.0
Edge of Darkness,WB,43300000.0,37800000.0,2010,81100000.0,edge of darkness,tt1226273,Edge of Darkness,Edge of Darkness,2010,117.0,"Crime,Drama,Mystery",tt1226273,6.6,84753.0
Vampires Suck,Fox,36700000.0,43900000.0,2010,80600000.0,vampires suck,tt1666186,Vampires Suck,Vampires Suck,2010,82.0,Comedy,tt1666186,3.4,43984.0
Letters to Juliet,Sum.,53000000.0,26100000.0,2010,79100000.0,letters to juliet,tt0892318,Letters to Juliet,Letters to Juliet,2010,105.0,"Adventure,Comedy,Drama",tt0892318,6.6,86137.0
The Back-Up Plan,CBS,37500000.0,40000000.0,2010,77500000.0,the back-up plan,tt1212436,The Back-up Plan,The Back-up Plan,2010,104.0,"Comedy,Romance",tt1212436,5.4,46128.0
Diary of a Wimpy Kid,Fox,64000000.0,11700000.0,2010,75700000.0,diary of a wimpy kid,tt1196141,Diary of a Wimpy Kid,Diary of a Wimpy Kid,2010,94.0,"Comedy,Drama,Family",tt1196141,6.2,38640.0
Easy A,SGem,58400000.0,16600000.0,2010,75000000.0,easy a,tt1282140,Easy A,Easy A,2010,92.0,"Comedy,Drama,Romance",tt1282140,7.1,330125.0
Takers,SGem,57700000.0,11300000.0,2010,69000000.0,takers,tt1135084,Takers,Takers,2010,107.0,"Action,Crime,Thriller",tt1135084,6.2,53377.0
The American,Focus,35600000.0,32299999.0,2010,67899999.0,the american,tt1440728,The American,The American,2010,105.0,"Crime,Drama,Thriller",tt1440728,6.3,86863.0
The Last Exorcism,LGF,41000000.0,26700000.0,2010,67700000.0,the last exorcism,tt1320244,The Last Exorcism,The Last Exorcism,2010,87.0,"Drama,Horror,Thriller",tt1320244,5.6,45815.0
The Next Three Days,LGF,21100000.0,46300000.0,2010,67400000.0,the next three days,tt1458175,The Next Three Days,The Next Three Days,2010,133.0,"Action,Crime,Drama",tt1458175,7.4,168066.0
